AssetID,DownloadAttribute,Filetype,Size,PrettyDownloadLink,RawDownloadLink
PavingStones069,16K-PNG,zip,2155835964,https://cc0textures.com/get?file=PavingStones069_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/PavingStones069_0ruv8x36/PavingStones069_16K-PNG.zip
Bricks051,2K-JPG,zip,17169529,https://cc0textures.com/get?file=Bricks051_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_2K-JPG.zip
Bricks051,2K-PNG,zip,64847617,https://cc0textures.com/get?file=Bricks051_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_2K-PNG.zip
Bricks051,4K-JPG,zip,71608602,https://cc0textures.com/get?file=Bricks051_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_4K-JPG.zip
Bricks051,4K-PNG,zip,261856893,https://cc0textures.com/get?file=Bricks051_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_4K-PNG.zip
Bricks051,8K-JPG,zip,269573146,https://cc0textures.com/get?file=Bricks051_8K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_8K-JPG.zip
Bricks051,8K-PNG,zip,1026891261,https://cc0textures.com/get?file=Bricks051_8K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_8K-PNG.zip
Bricks051,12K-JPG,zip,551522058,https://cc0textures.com/get?file=Bricks051_12K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_12K-JPG.zip
Bricks051,12K-PNG,zip,2243572582,https://cc0textures.com/get?file=Bricks051_12K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_12K-PNG.zip
Bricks051,16K-JPG,zip,958686398,https://cc0textures.com/get?file=Bricks051_16K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_16K-JPG.zip
Bricks051,16K-PNG,zip,3857089031,https://cc0textures.com/get?file=Bricks051_16K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/Bricks051_nlxpqi1z/Bricks051_16K-PNG.zip
WoodFloorSubstance005,,sbsar,44992688,https://cc0textures.com/get?file=WoodFloorSubstance005.sbsar,https://cdn3.struffelproductions.com/file/CC0-Textures/download/WoodFloorSubstance005_kp536jf4/WoodFloorSubstance005.sbsar
WoodFloor041,2K-JPG,zip,15158936,https://cc0textures.com/get?file=WoodFloor041_2K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/WoodFloor041_pitgazs0/WoodFloor041_2K-JPG.zip
WoodFloor041,2K-PNG,zip,64684844,https://cc0textures.com/get?file=WoodFloor041_2K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/WoodFloor041_pitgazs0/WoodFloor041_2K-PNG.zip
WoodFloor041,4K-JPG,zip,54758182,https://cc0textures.com/get?file=WoodFloor041_4K-JPG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/WoodFloor041_pitgazs0/WoodFloor041_4K-JPG.zip
WoodFloor041,4K-PNG,zip,252651340,https://cc0textures.com/get?file=WoodFloor041_4K-PNG.zip,https://cdn3.struffelproductions.com/file/CC0-Textures/download/WoodFloor041_pitgazs0/WoodFloor041_4K-PNG.zip
